2017-02-02T19:25:52.6093750Z|Program_Runtime_Seconds|80
2017-02-02T19:25:52.7812500Z|Feed_Rate|74.0333333333333
2017-02-02T19:25:52.9531250Z|Block_Number|21
2017-02-02T19:25:52.9687500Z|Feed_Rate|80.1333333333333
2017-02-02T19:25:53.1093750Z|Feed_Rate|167.783333333333
2017-02-02T19:25:53.1093750Z|Spindle_Speed|0.000000
2017-02-02T19:25:53.2656250Z|Feed_Rate|176.1
2017-02-02T19:25:53.6250000Z|Program_Runtime_Seconds|81
2017-02-02T19:25:54.6250000Z|Program_Runtime_Seconds|82
2017-02-02T19:25:55.1562500Z|Block_Number|23
2017-02-02T19:25:55.1718750Z|Feed_Rate|0
2017-02-02T19:25:55.2968750Z|Feed_Rate|34.4333333333333
2017-02-02T19:25:55.3125000Z|Spindle_Speed|248.880040
2017-02-02T19:25:55.4687500Z|Feed_Rate|191.466666666667
2017-02-02T19:25:55.6562500Z|Feed_Rate|198.25
2017-02-02T19:25:55.6562500Z|Program_Runtime_Seconds|83
2017-02-02T19:25:55.8125000Z|Spindle_Speed|0.000000
2017-02-02T19:25:56.6406250Z|Program_Runtime_Seconds|84
2017-02-02T19:25:56.8125000Z|Feed_Rate|163.4
2017-02-02T19:25:56.9687500Z|Feed_Rate|6.93333333333333
2017-02-02T19:25:57.1250000Z|Feed_Rate|0
2017-02-02T19:25:57.2812500Z|Feed_Rate|206.95
2017-02-02T19:25:57.4375000Z|Feed_Rate|138.683333333333
2017-02-02T19:25:57.6250000Z|Feed_Rate|28.8666666666667
2017-02-02T19:25:57.6562500Z|Program_Runtime_Seconds|85
2017-02-02T19:25:57.7656250Z|Feed_Rate|0
2017-02-02T19:25:58.7187500Z|Program_Runtime_Seconds|86
2017-02-02T19:25:59.7187500Z|Program_Runtime_Seconds|87
2017-02-02T19:25:59.7343750Z|Current_Tool|0.000000
2017-02-02T19:26:00.3750000Z|Current_Tool|15.000000
2017-02-02T19:26:00.6406250Z|Program_Runtime_Seconds|88
2017-02-02T19:26:01.6875000Z|Block_Number|24
2017-02-02T19:26:01.7031250Z|Feed_Rate|208.016666666667
2017-02-02T19:26:01.7343750Z|Program_Runtime_Seconds|89
2017-02-02T19:26:01.7343750Z|Spindle_Speed|248.880040
2017-02-02T19:26:01.8593750Z|Feed_Rate|224.316666666667
2017-02-02T19:26:01.8750000Z|Spindle_Speed|1493.280239
2017-02-02T19:26:02.0156250Z|Spindle_Speed|2115.480338
2017-02-02T19:26:02.1718750Z|Spindle_Speed|2737.680438
2017-02-02T19:26:02.3281250Z|Spindle_Speed|3750.000000
2017-02-02T19:26:02.5000000Z|Program_Runtime_Seconds|90
2017-02-02T19:26:03.2812500Z|Feed_Rate|38
2017-02-02T19:26:03.4843750Z|Block_Number|25
2017-02-02T19:26:03.4843750Z|Feed_Rate|73.65
2017-02-02T19:26:03.6250000Z|Feed_Rate|107.8
2017-02-02T19:26:03.6406250Z|Program_Runtime_Seconds|91
2017-02-02T19:26:03.8437500Z|Feed_Rate|176.116666666667
2017-02-02T19:26:03.9531250Z|Feed_Rate|176.1
2017-02-02T19:26:04.7031250Z|Program_Runtime_Seconds|92
2017-02-02T19:26:05.6093750Z|Program_Runtime_Seconds|93
2017-02-02T19:26:05.7656250Z|Block_Number|26
2017-02-02T19:26:05.7812500Z|Feed_Rate|76.7833333333333
2017-02-02T19:26:05.9531250Z|Block_Number|27
2017-02-02T19:26:05.9687500Z|Feed_Rate|51.4833333333333
2017-02-02T19:26:06.0781250Z|Feed_Rate|7.91666666666667
2017-02-02T19:26:06.2500000Z|Block_Number|28
2017-02-02T19:26:06.2656250Z|Feed_Rate|9.61666666666667
2017-02-02T19:26:06.4062500Z|Feed_Rate|25.4
2017-02-02T19:26:06.5625000Z|Program_Runtime_Seconds|94
2017-02-02T19:26:07.6250000Z|Program_Runtime_Seconds|95
2017-02-02T19:26:08.5312500Z|Block_Number|29
2017-02-02T19:26:08.6875000Z|Program_Runtime_Seconds|96
2017-02-02T19:26:09.6093750Z|Program_Runtime_Seconds|97
2017-02-02T19:26:10.6406250Z|Program_Runtime_Seconds|98
2017-02-02T19:26:11.5312500Z|Program_Runtime_Seconds|99
2017-02-02T19:26:12.7187500Z|Program_Runtime_Seconds|100
2017-02-02T19:26:13.5000000Z|Block_Number|30
2017-02-02T19:26:13.6718750Z|Program_Runtime_Seconds|101
